Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Mayer Dibbi,Drama,"Ram is pitted against evils persisting in his family. While on a journey to fight them, will he emerge victorious? Watch the full movie on Hoichoi.",U/A 7+,2,1998,Swapan Saha,"Chiranjeet Chakraborty, Rituparna Sengupta, Abhishek Chatterjee","ram, pitted, against, evils, persisting, family, journey, fight, emerge, victorious, watch, full, movie, hoichoi",,
Jamai Baron,Drama,What happens when a village boy grows up to become a boxing trainer settled in the city? Will he return again to his old life? Watch the full movie on Hoichoi.,U/A 13+,3,2005,Arunava Mukherjee,"Dulal Lahiri, Kharaj Mukherjee, Dipankar Dey","what, happens, when, village, boy, grows, become, boxing, trainer, settled, city, return, again, old, life, watch, full, movie, hoichoi",,
Mastermasai,Drama,This is the story of teacher Subhamkar Chatterjee. He loves his students and his journey with them is what the film covers. Watch the full movie on Hoichoi.,U/A 7+,2,2001,Abhijit Sen,"Chiranjeet Chakraborty, Victor Banerjee, Indrani Haldar","story, teacher, subhamkar, chatterjee, loves, students, journey, what, film, covers, watch, full, movie, hoichoi",,
Tor Nam,Drama,Raju and Swapna fall in love but are separated by the latter's parents. Will Raju succeed in winning Swapna's hand in marriage? Watch the full movie on Hoichoi.,U/A 13+,3,2012,Jaya Sarkar,"Victor Banerjee, Sabyasachi Chakraborty, Tota Roy Choudhury","raju, swapna, fall, love, separated, latter, s, parents, raju, succeed, winning, swapna, s, hand, marriage, watch, full, movie, hoichoi",,
Barood,Action,The film is about an honest cop who gets involved with a bunch of corrupt politicians and vows to stand up for justice. Watch the full movie on Hoichoi.,U/A 13+,3,2004,TLV Prasad,"Mithun Chakraborty, Usha Sree, Rajatava Dutta, Shankar Chakraborty, Shubhendu Chattopadhyay","film, honest, cop, who, gets, involved, bunch, corrupt, politicians, vows, stand, justice, watch, full, movie, hoichoi",,
Sadhanpith Tarapith,Devotional,The movie traces the miraculous legend of this particular avatar of Goddess Kali residing at the holy land of Tarapith. Watch the full movie on Hoichoi.,U,1,2005,Kaushik Roy,"Natraj Chatterjee, Arindom Chakraborty, Prabir Nag","movie, traces, miraculous, legend, particular, avatar, goddess, kali, residing, holy, land, tarapith, watch, full, movie, hoichoi",,
Tui Je Amar,Romance,"Tui Je Amar, revolves around Niladri and Shalini who love each other. What happens when the evil Jinia tries to separate them? ",U/A 13+,3,1996,Prodyut Bhattacharya,"Victor Banerjee, Rittika, Ferdous Ahmed","tui, je, amar, revolves, around, niladri, shalini, who, love, each, other, what, happens, when, evil, jinia, tries, separate",,
Bastir Meye Radha,Drama,"Chiranjit is an educated man while Radha, a maid. While working at Chiranjit's home, love blossoms. Can they unite? Watch the full movie on Hoichoi.",U/A 7+,2,2000,Chiranjeet Chakraborty,"Chiranjeet Chakraborty, Soumitra Chatterjee, Rituparna Sengupta","chiranjit, educated, man, radha, maid, working, chiranjit, s, home, love, blossoms, unite, watch, full, movie, hoichoi",,
Aghat,Drama,"Aghat is the story of Subho who turns into a brute, following the murder of his mother which he avenged at a very young age. Watch the full movie on Hoichoi.",U/A 13+,3,2001,Anup Sengupta,"Prosenjit Chatterjee, Rituparna Sengupta, Subhashish Mukherjee","aghat, story, subho, who, turns, brute, following, murder, mother, which, avenged, very, young, age, watch, full, movie, hoichoi",,
Debdoot,Drama,Debdoot is an honest truck driver with two brothers who fall into a trap of a fraud businessman. Can he save them? Watch the full movie on Hoichoi.,U/A 7+,2,2005,TLV Prasad,"Mithun Chakraborty, Sreelekha Mitra, Rajeshwari Datta","debdoot, honest, truck, driver, two, brothers, who, fall, trap, fraud, businessman, save, watch, full, movie, hoichoi",,
Bhalobasar Rajprasade,Romance,"Bikash and Krishna are deeply in love, but the social differences complicate everything when they decide to get married. Watch the full movie on Hoichoi.",U/A 7+,2,2001,Sanjoy Roy,"Chiranjeet Chakraborty, Soumitra Chatterjee, Supriya Devi","bikash, krishna, deeply, love, social, differences, complicate, everything, when, decide, get, married, watch, full, movie, hoichoi",,
Sathi Aamar,Romance,This is the story of a man who takes on all kinds of odd jobs to fend for his sister. He must surmount all barriers in life to attain happiness and success. Watch the full movie on Hoichoi.,U/A 7+,2,2005,Shankar Roy,"Prosenjit Chatterjee, Rachana Banerjee, Laboni Sarkar","story, man, who, takes, all, kinds, odd, jobs, fend, sister, surmount, all, barriers, life, attain, happiness, success, watch, full, movie, hoichoi",,
Sundar Bou,Drama,Nanda's stepmother marries him with Sabitri for her selfish plans. However even Sabitri gets exploited. Who will save them? Watch the full movie on Hoichoi.,U,1,1999,Sujit Guha,"Debashree Roy, Tapas Paul, Lily Chakraborty","nanda, s, stepmother, marries, sabitri, selfish, plans, however, even, sabitri, gets, exploited, who, save, watch, full, movie, hoichoi",,
Iccha Moyee Maa,Devotional,This film is about few people who have their share of problems. Will they be blessed with solutions to their issues? Watch the full movie on Hoichoi.,U,1,2005,Ajit Ganguly,"Satya Banerjee, Papiya Adhikari, Amar Ganguly","film, few, people, who, share, problems, blessed, solutions, issues, watch, full, movie, hoichoi",,
Jomer Raja Dilo Bor,Romance,"Ria is a male-basher until she meets Deb. The morning after their marriage, she finds him dead. What has fate decided for her? Watch the full movie on Hoichoi. ",U/A 13+,3,2015,Abir Sengupta,"Abir Chatterjee, Paayel Sarkar, Rajatava Dutta","ria, male, basher, until, meets, deb, morning, marriage, finds, dead, what, fate, decided, watch, full, movie, hoichoi",,
Khoj,Crime,"Police inspector Sayan takes the case of a doctor’s wife who went missing, only to reveal that she was never seen by anyone. Watch the full movie on Hoichoi.",U/A 16+,4,2017,Arka Ganguly,"Vikram Chatterjee, Shataf Figar, Susmita Dey","police, inspector, sayan, takes, case, doctor, s, wife, who, went, missing, only, reveal, never, seen, anyone, watch, full, movie, hoichoi",,
One,Drama,"When a trainee police officer becomes suspicious of a possible link between a cunning scientist and ongoing criminal activities in the city, the situation becomes more complicated with even more crimes. ",U/A 16+,4,2017,Birsa Dasgupta,"Yash Dasgupta, Nusrat Jahan, Prosenjit Chattopadhyay","when, trainee, police, officer, becomes, suspicious, possible, link, cunning, scientist, ongoing, criminal, activities, city, situation, becomes, more, complicated, even, more, crimes",,
Thammar Boyfriend,Comedy,"How does her family react, when an ageing woman decides to marry a young man with whom she has been having an affair? Watch the full movie on Hoichoi.",U/A 7+,2,2016,Anindya Ghosh,"Abir Chatterjee, Sabitri Chatterjee, Arunima Ghosh","how, family, react, when, ageing, woman, decides, marry, young, man, whom, having, affair, watch, full, movie, hoichoi",,
Tomake Chai (2017),Romance,"Tomake Chai revolves around star-crossed lovers Joy and Diya, whose love for each other is time-tested. Watch the full movie on Hoichoi.",U/A 13+,3,2017,Rajib Kumar,"Bonny, Koushani, Laboni Sarkar","tomake, chai, revolves, around, star, crossed, lovers, joy, diya, whose, love, each, other, time, tested, watch, full, movie, hoichoi",,
Gate 2 Gether,Drama,"A feel good film about two lost friends and the beauty of friendship. The movie tells you how small the world really is. After a string of events one day Rik goes to Diya's house only to find out that,she is his long lost childhood friend with whom he was once very close. Watch the full movie on Hoichoi.",U/A 13+,3,2011,Arindam Chakraborty,"Rahul Banerjee, Priyanka Sarkar, Saswata Chatterjee","feel, good, film, two, lost, friends, beauty, friendship, movie, tells, how, small, world, really, string, events, one, day, rik, goes, diya, s, house, only, find, long, lost, childhood, friend, whom, once, very, close, watch, full, movie, hoichoi",,
Titli,Drama,"A teenaged Titli meets her favourite actor, superstar Rohit Roy, at an airport with her mother and is instantly attracted to him. But, her dreams get shattered when she gets to know about her mother's past. ",U/A 7+,2,2002,Rituparno Ghosh,"Konkona Sen Sharma, Aparna Sen, Mithun Chakraborty","teenaged, titli, meets, favourite, actor, superstar, rohit, roy, airport, mother, instantly, attracted, dreams, get, shattered, when, gets, know, mother, s, past",,
Utsab,Drama,"Members of a family assemble to celebrate Durga Puja, only with other intentions apart from celebrating the festive mood. Watch the full movie on Hoichoi.",U/A 16+,4,2000,Rituparno Ghosh,"Mamata Shankar, Madhabi Mukherjee, Prosenjit Chattopadhyay, Rituparna Sengupta, Arpita Chatterjee, Ratul Shankar, ","members, family, assemble, celebrate, durga, puja, only, other, intentions, apart, celebrating, festive, mood, watch, full, movie, hoichoi",,
Hrid Majharey,Drama,"Abhijit falls in love with Debjani only to grow jealous of her friendship with Subhro, that takes an ugly turn in their lives. Watch the full movie on Hoichoi.",U/A 13+,3,2014,Ranjan Ghosh,"Abir Chatterjee, Raima Sen, Arun Mukherjee","abhijit, falls, love, debjani, only, grow, jealous, friendship, subhro, takes, ugly, turn, lives, watch, full, movie, hoichoi",,
Janala,Drama,A broken window of Bimal's school classroom becomes the central aspect of Buddhadeb Dasgupta's movie. Can he help repair it? Watch the full movie on Hoichoi.,U/A 13+,3,2011,Buddhadeb Dasgupta,"Indraneil Sengupta, Swastika Mukherjee, Tapas Paul","broken, window, bimal, s, school, classroom, becomes, central, aspect, buddhadeb, dasgupta, s, movie, help, repair, watch, full, movie, hoichoi",,
Chowringhee,Drama,"Shankar,an author working at the most reputed hotel in Kolkata, meets many people who go through many layers of emotions. Watch the full movie on Hoichoi.",U/A 7+,2,1968,Pinaki Bhushan Mukherji,"Uttam Kumar, Supriya Devi, Anjana Bhowmik, Utpal Dutt","shankar, author, working, most, reputed, hotel, kolkata, meets, many, people, who, go, many, layers, emotions, watch, full, movie, hoichoi",,
Bachchan,Action,"An ardent fan of Amitabh Bachchan, Bijay dreams of becoming successful. A series of incidents emerge that will decide his fate. Watch the full movie on Hoichoi.",U/A 13+,3,2014,Raja Chanda,"Jeet, Paayel Sarkar, Kanchan Mullick","ardent, fan, amitabh, bachchan, bijay, dreams, becoming, successful, series, incidents, emerge, decide, fate, watch, full, movie, hoichoi",,
Bawal,Drama,Jishu and Subhashree must find ways to pacify Subhrashree's overprotective brothers and win her hand. Can they do it? Watch the full movie on Hoichoi.,U/A 13+,3,2015,Biswaroop Biswas,"Arjun Chakraborty, Ritabhari Chakraborty, Sayooni Ghosh","jishu, subhashree, find, ways, pacify, subhrashree, s, overprotective, brothers, win, hand, watch, full, movie, hoichoi",,
Mahapurush O Kapurush,Comedy,"A comic movie about mistaken identities, deceit, superstition and frolic, Mahapurush O Kapurush is an engaging laughathon. Watch the full movie on Hoichoi.",U/A 7+,2,2013,Aniket Chattopadhyay,"Bratya Basu, Dipankar Dey, Locket Chatterjee","comic, movie, mistaken, identities, deceit, superstition, frolic, mahapurush, o, kapurush, engaging, laughathon, watch, full, movie, hoichoi",,
Protarak,Action,"Kumar's father sends him to city for a real estate project, while his co-partner plans to murder him. Can Kumar save himself?  Watch the full movie on Hoichoi.",U/A 7+,2,2002,Pallab Ghosh,"Prosenjit Chatterjee, Dipankar Dey, Arpita Pal","kumar, s, father, sends, city, real, estate, project, co, partner, plans, murder, kumar, save, himself, watch, full, movie, hoichoi",,
Minister Fatakesto,Action,This comic-political drama showcases the life and hurdles of the politician who believes in doing good. Watch the full movie on Hoichoi.,U/A 7+,2,2007,Swapan Saha,"Mithun Chakraborty, Koel, Soumitra Chatterjee","comic, political, drama, showcases, life, hurdles, politician, who, believes, good, watch, full, movie, hoichoi",,
Sweet Heart,Drama,"A romantic take on couples, who meet and then separate, as wrongdoers sustain the tension between them by all evil means. Watch the full movie on Hoichoi.",U/A 13+,3,2013,Prodip Saha,"Paoli Dam, Indraneil Sengupta, Tapas Paul","romantic, take, couples, who, meet, then, separate, wrongdoers, sustain, tension, all, evil, means, watch, full, movie, hoichoi",,
Agnipath,Action,"Three brothers Ajay, Sujay and Bijay have their own dreams. How will their lives turn out in due course of time? Watch the full movie on Hoichoi.",U/A 13+,3,2005,Sujit Guha,"Inder Kumar, Laboni Sarkar, Biplab Chatterjee","three, brothers, ajay, sujay, bijay, own, dreams, how, lives, turn, due, course, time, watch, full, movie, hoichoi",,
Sita,Mythology,"A screen adaptation of Ramayana with a focus on the tragic life of Lord Rama’s wife, Sita. Watch the full movie on Hoichoi.",U,1,1980,Ardhendu Chatterjee,"Bipin Gupta, Nirmal Ghosh, Gita Dey","screen, adaptation, ramayana, focus, tragic, life, lord, rama, s, wife, sita, watch, full, movie, hoichoi",,
Charmurti,Drama,"Tenida goes on a vacation with his school friends near Ramgarh, where a series of unnatural incidents surrounding their haunted bungalow leads to hilarious situations in this classic Bengali comedy based on Narayan Gangopadhyay's novel, Charmurti.  ",U/A 7+,2,1978,Umanath Bhattacharya,"Chinmoy Roy, Rabi Ghosh, Satya Banerjee, Santosh Dutta","tenida, goes, vacation, school, friends, near, ramgarh, where, series, unnatural, incidents, surrounding, haunted, bungalow, leads, hilarious, situations, classic, bengali, comedy, based, narayan, gangopadhyay, s, novel, charmurti",,
Basanta Bilap,Comedy,A battle-of-the-sexes between inmates of a hostel and the local boys. Situation turn hilarious when they fall for the girls. Watch the full movie on Hoichoi.,U,1,1973,Dinen Gupta,"Aparna Sen, Soumitra Chatterjee, Chinmoy Roy, Rabi Ghosh","battle, sexes, inmates, hostel, local, boys, situation, turn, hilarious, when, fall, girls, watch, full, movie, hoichoi",,
Jhinder Bondi,Drama,"Being a look-a-like of the king of Jhind, Gauri Shankar pretends to be the royalty, while the real king goes missing. Watch the full film on Hoichoi.",U/A 7+,2,1968,Tapan Sinha,"Uttam Kumar, Soumitra Chatterjee, Sandhya Roy","look, king, jhind, gauri, shankar, pretends, royalty, real, king, goes, missing, watch, full, film, hoichoi",,
